backside,ひっぷ
proteinase (ger: Proteinase),ぷろていなーぜ
protein,ぷろていん
protein kinase,ぷろていんきなーぜ
proteose,ぷろておーす
proteome,ぷろておーむ
protection,ぷろてくしょん
protector,ぷろてくたー
protective MBR,ぷろてくてぃぶえむびーあー
protected,ぷろてくてっど
protect,ぷろてくと
protected memory,ぷろてくとめもりー
protected mode,ぷろてくともーど
Protestantism,ぷろてすたんてぃずむ
protestant,ぷろてすたんと
Protestant Episcopal Church,ぷろてすたんとかんとくきょうかい
Protestant Church,ぷろてすたんときょうかい
protest,ぷろてすと
protest song,ぷろてすとそんぐ
professional debut,ぷろでびゅー
producer,ぷろでゅーさ
producer,ぷろでゅーさー
producer system,ぷろでゅーさーしすてむ
produce,ぷろでゅーす
protoactinium (Pa),ぷろとあくちにうむ
protoanemonin,ぷろとあねもにん
protoceratops,ぷろとけらとぷす
protocol,ぷろとこる
protocol analyzer,ぷろとこるあならいざ
protocol error,ぷろとこるあやまり
protocol hierarchy,ぷろとこるかいそう
Protocol Machine,ぷろとこるきかい
PM,ぷろとこるきかい
protocol suite,ぷろとこるぐん
protocol set,ぷろとこるぐん
protocol implementation conformance statement,ぷろとこるじっそうてきごうせいせんげん
PICS,ぷろとこるじっそうてきごうせいせんげん
protocol suite,ぷろとこるすいーと
protocol stack,ぷろとこるすたっく
PDU,ぷろとこるでーたたんい
Protocol Data Unit,ぷろとこるでーたたんい
protocol conformance test report,ぷろとこるてきごうせいしけんほうこくしょ
PCTR,ぷろとこるてきごうせいしけんほうこくしょ
protocol conversion,ぷろとこるへんかん
prototyping,ぷろとたいぴんぐ
prototype,ぷろとたいぷ
prototype system,ぷろとたいぷしすてむ
protoplast,ぷろとぷらすと
Brotopon (Japanese brand of haloperidol),ぶろとぽん
prodrug,ぷろどらっぐ
prothrombin,ぷろとろんびん
proton,ぷろとん
proton magnetometer,ぷろとんじりょくけい
pronase,ぷろなーぜ
proper,ぷろぱー
propagandist,ぷろぱー
propaganda,ぷろぱー
full time (staff),ぷろぱー
career (job title) (e.g. someone who has worked in the same area from the start),ぷろぱー
regular price,ぷろぱー
net price,ぷろぱー
Internet service provider (from provider),ぷろばいだ
ISP,ぷろばいだ
Internet service provider (from provider),ぷろばいだー
ISP,ぷろばいだー
propaganda,ぷろぱがんだ
propagation,ぷろぱげーしょん
professional basketball league,ぷろばすけっとぼーるりーぐ
property,ぷろぱてぃ
property,ぷろぱてぃー
property editor,ぷろぱてぃえでぃた
property cache,ぷろぱてぃきゃっしゅ
property set,ぷろぱてぃせっと
property bag,ぷろぱてぃばっぐ
property mapping,ぷろぱてぃまっぴんぐ
propanol,ぷろぱのーる
probability,ぷろばびりてぃー
probable,ぷろばぶる
professional ballet dancer,ぷろばれえだんさー
professional version,ぷろはん
propane,ぷろぱん
propane gas,ぷろぱんがす
propionic acid,ぷろぴおんさん
propanoic acid,ぷろぴおんさん
provisioning,ぷろびじょにんぐ
provitamin,ぷろびたみん
propyl,ぷろぴる
propylene,ぷろぴれん
propylene glycol,ぷろぴれんぐりこーる
province,ぷろびんす
profile,ぷろふ
profiler,ぷろふぁいら
profiler,ぷろふぁいらー
profile,ぷろふぁいる
profile editor,ぷろふぁいるえでぃた
profile ticket,ぷろふぁいるちけっと
profile property,ぷろふぁいるぷろぱてぃ
profile,ぷろふぃーる
profit,ぷろふぃっと
profile,ぷろふぃる
professional,ぷろふぇしょなる
professor,ぷろふぇっさー
professional,ぷろふぇっしょなる
profession,ぷろふぇっしょん
floptical disk,ふろぷてぃかるでぃすく
proprietary,ぷろぷらいえたり
problem,ぷろぶれむ
problem method,ぷろぶれむめそっど
propeller,ぷろぺら
propeller-driven aircraft,ぷろぺらき
prop plane,ぷろぺらき
propeller water turbine,ぷろぺらすいしゃ
air propeller boat,ぷろぺらせん
propeller pump,ぷろぺらぽんぷ
transmitter for radio-controlled toys, etc.,ぷろぽ
proposal,ぷろぽーざる
proportional control system,ぷろぽーしょなるこんとろーるしすてむ
proportional spacing,ぷろぽーしょなるすぺーしんぐ
proportional font,ぷろぽーしょなるふぉんと
proportion,ぷろぽーしょん
proportionate width,ぷろぽーしょん
proposal,ぷろぽーず
pro boxing,ぷろぼくしんぐ
professional boxing,ぷろぼくしんぐ
cheese (fre: fromage),ふろまーじゅ
bromide,ぶろまいど
publicity photograph of a movie star, entertainer, etc.,ぶろまいど
Promide (product name for bromides released by Marubell),ぷろまいど
bromide (publicity photograph of a movie star, entertainer, etc.),ぷろまいど
bromide paper,ぶろまいどし
project manager,ぷろまね
promiscuous mode,ぷろみすきゃすもーど
promix,ぷろみっくす
prominence,ぷろみねんす
promin,ぷろみん
bromine (ger: Brom),ぶろむ
prom,ぷろむ
promenade,ぷろむなーど
promenade deck,ぷろむなーどでっき
promethium (Pm),ぷろめちうむ
Prometheus,ぷろめてうす
bromelain,ぶろめらいん
promote,ぷろもうと
promotion,ぷろもうと
promotion,ぷろもーしょん
promotional video (和製: promotion video),ぷろもーしょんびでお
music video,ぷろもーしょんびでお
promoter,ぷろもーたー
promote,ぷろもーと
promotion,ぷろもーと
professional baseball,ぷろやきゅう
flora,ふろら
prolactin,ぷろらくちん
floral style (和製: floral + -ation),ふろらしおん
florigen,ふろりーげん
florist,ふろりすと
Florida,ふろりだ
PROLINEA,ぷろりにあ
proline,ぷろりん
flooring,ふろりんぐ
professional wrestling,ぷろれす
pro wrestler,ぷろれすらー
professional wrestling,ぷろれすりんぐ
proletarian (ger: Proletarier),ぷろれたりあ
proletariat,ぷろれたりあーと
proletarian revolution,ぷろれたりあかくめい
proletarian internationalism,ぷろれたりあこくさいしゅぎ
proletarian dictatorship,ぷろれたりあどくさい
proletarian literature,ぷろれたりあぶんがく
prologue,ぷろろーぐ
Programming in Logic,ぷろろーぐ
PROLOG,ぷろろーぐ
prolog,ぷろろぐ
PROLOG,ぷろろぐ
blower,ぶろわー
fluorocarbon,ふろん
Freon,ふろん
chlorofluorohydrocarbon,ふろん
CFC,ふろん
Freon gas,ふろんがす
chlorofluorocarbon,ふろんがす
CFC,ふろんがす
pronghorn (Antilocapra americana),ぷろんぐほーん
pronghorn antelope,ぷろんぐほーん
bronze,ぶろんず
bronze (coloured),ぶろんずいろ
frontier,ふろんてぃあ
frontier spirit,ふろんてぃあすぴりっと
front,ふろんと
reception (hotel, etc.),ふろんと
front desk,ふろんと
blonde,ぶろんど
front-end (processor),ふろんとえんど
FEP,ふろんとえんど
front-end computer,ふろんとえんどこんぴゅーた
front-end processing,ふろんとえんどしょり
front-end communications processor,ふろんとえんどつうしんぷろせっさ
front-end processor,ふろんとえんどぷろせっさ
FEP,ふろんとえんどぷろせっさ
front-end processor,ふろんとえんどぷろせっさー
FEP,ふろんとえんどぷろせっさー
front office,ふろんとおふぇす
windscreen (和製: front glass),ふろんとがらす
windshield,ふろんとがらす
front company (for an organized crime operation),ふろんときぎょう
Brontosaurus,ぶろんとざうるす
Apatosaurus,ぶろんとざうるす
registration desk (from front desk),ふろんとですく
front wheel drive,ふろんとどらいぶ
front buffer,ふろんとばっふぁ
front page,ふろんとぺーじ
front row,ふろんとろー
prompter,ぷろんぷたー
prompter screen,ぷろんぷたーすくりーん
prompt,ぷろんぷと
at the prompt,ぷろんぷとにたいして
for your information,ふわい
FYI,ふわい
light,ふわふわ
airy,ふわふわ
fluffy,ふわふわ
Bungo Japanese apricot,ぶんごうめ
Prunus mume var. bungo,ぶんごうめ
dung beetle,ふんころがし
Bunsen burner,ぶんぜんばーなー
the Huns,ふんぞく
funt (Russian pound),ふんと
bond (ger: Bund),ぶんど
intense smell (hanging around),ぷんぷん
state of being furious or angry,ぷんぷん
Humboldt penguin (Spheniscus humboldti),ふんぼるとぺんぎん
hummus (chickpea-based paste),ふんむす
hommus,ふんむす
humus,ふんむす
gently,ふんわり
airily,ふんわり
fluffily,ふんわり
6th in a sequence denoted by the iroha system,へ
6th note in the diatonic scale (used in key names, etc.),へ
hair,へあ
increase in basic salary (和製: base up),べあ
bear,べあ
pair,ぺあ
pair-oared boat,ぺあ
pear,ぺあ
hair,へあー
bear,べあー
pair,ぺあー
pair-oared boat,ぺあー
pear,ぺあー
hair iron,へあーあいろん
hair stylist (和製: hair artist),へああーてぃすと
hair iron,へああいろん
hairstyle,へあーすたいる
Baird's tapir (Tapirus bairdii),べあーどばく
Baird's tapir (Tapirus bairdii),べあーどばく
Baird's tapir (Tapirus bairdii),べあーどばく
hair oil,へあおいる
pair-oar,ぺあおーる
pair occupation,ぺあおきゅぺーしょん
hair curler,へあかーらー
hair dye,へあからー
hair coloring,へあからー
hair colouring,へあからー
double glazing (和製: pair glass),ぺあがらす
hair cream,へあくりーむ
hair care,へあけあ
hair conditioner,へあこんでぃしょなー
pair skating,ぺあすけーてぃんぐ
hairstyle,へあすたいる
hair spray,へあすぷれー
hairdye,へあだい
hair dryer,へあでらいやー
bare top,べあとっぷ
hair tonic,へあとにっく
hair dryer,へあどらいやー
hair dresser,へあどれっさー
nude photograph showing pubic hair (和製: hair nude),へあぬーど
hairnet,へあねっと
bear hug,べあはっぐ
hair band,へあばんど
hairpiece,へあぴーす
hair pin,へあぴん
hairclip,へあぴん
hairgrip,へあぴん
bobby pin,へあぴん
hairpin curve,へあぴんかーぶ
hairpin shot,へあぴんしょっと
hairpin lace,へあぴんれーす
hairbrush,へあぶらし
hair manicure (temporary hair dye or streaks),へあまにきゅあー
hair and makeup artist (和製: hair make artist),へあめいくあーてぃすと
beautician,へあめいくあーてぃすと
hair-dresser,へあめいくあーてぃすと
hair and makeup artist (和製: hair make artist),へあめーくあーてぃすと
beautician,へあめーくあーてぃすと
hair-dresser,へあめーくあーてぃすと
bearer,べあら
bearer service,べあらさーびす
hair styling liquid (for men) (和製: hair liquid),へありきっど
pair lift (ski),ぺありふと
bearing,べありんぐ
pairing,ぺありんぐ
unmarried couple living together,ぺありんぐ
hair rinse,へありんす
bare look,べあるっく
matching clothing worn by couples (和製: pair look),ぺあるっく
parents,ぺあれんつ
parent,ぺあれんと
hair lotion,へあろーしょん
pair-wise,ぺあわいず
to form a pair (pairs),ぺあをくむ
to partner,ぺあをくむ
hey,へい
bay,べい
pay,ぺい
bay window,べいういんどー
deposit insurance,ぺいおふ
payoff (e.g. in game theory),ぺいおふ
drug addict,ぺいかん
hay cube,へいきゅーぶ
Bayesian,べいじあん
sarracenia,へいしそう
BASIC,べいしっく
pager,ぺいじゃー
paging,ぺいじんぐ
Hayes,へいず
Bayes,べいず
Hayes AT command,へいずえーてぃーこまんど
red cedar (thuja plicata),べいすぎ
Hayes compatible,へいずごかん
haste,へいすと
basin,べいすん
drug addiction,ぺいちゅう
payday,ぺいでー
pay TV,ぺいてれび
pay television,ぺいてれび
paper,ぺいぱー
pay-per-view,ぺいぱーびゅー
pay-per-use,ぺいぱーゆーず
vapor lock,べいぱーろっく
pay-by-phone,ぺいばいふぉん
baby,べいびー
pay bridge,ぺいぶりっじ
payment,ぺいめんと
bay leaf,べいりーふ
valium,べいりうむ
bailout,べいるあうと
Beirut,べいるーと
pale ale,ぺいるえる
payload (of a cell, packet, etc.),ぺいろーど
payload specialist,ぺいろーどすぺしゃりすと
Peyronie's disease,ぺいろにーびょう
pain clinic,ぺいんくりにっく
painting,ぺいんてぃんぐ
painting software,ぺいんてぃんぐそふとうぇあ
painting-knife,ぺいんてぃんぐないふ
paint,ぺいんと
paint program,ぺいんとけいぷろぐらむ
paint system,ぺいんとしすてむ
paint software,ぺいんとそふと
paint program,ぺいんとぷろぐらむ
paintball,ぺいんとぼーる
heavy,へヴぃ
Bayrische Motorenwerke,べーえむべー
BMW,べーえむべー
bakery,べーかりー
baking powder,べーきんぐぱうだー
bake off (when a bakery bakes its wares from dough brought in from elsewhere),べーくおふ
baked cheesecake,べーくどちーずけーき
baked potato,べーくとぽてと
baked potato,べーくどぽてと
Bakelite,べーくらいと
bagel,べーぐる
spinning top (traditionally made of Japanese babylon shell),べーごま
bacon,べーこん
bacon (and) eggs,べーこんえっぐ
page out,ぺーじあうと
page footing,ぺーじあしがき
page in,ぺーじいん
page printer,ぺーじいんじそうち
pageant,ぺーじぇんと
page girl,ぺーじがーる
page write protect,ぺーじかきこみほご
Page Description Language,ぺーじきじゅつげんご
PDL,ぺーじきじゅつげんご
page break,ぺーじくぎり
paging,ぺーじぐみ
page coordinate system,ぺーじざひょうけい
page set,ぺーじしゅうごう
number of pages,ぺーじすう
bassist,べーしすと
page replacement algorithm,ぺーじちかんあるごりずむ
basic,べーしっく
BASIC,べーしっく
Basic English,べーしっくいんぐりっしゅ
version of English with a maximum of 850 basic words,べーしっくいんぐりっしゅ
basic service,べーしっくさーびす
basic disk,べーしっくでぃすく
basic dress,べーしっくどれす
page data set,ぺーじでーたせっと
.. pages long,ぺーじにおよぶ
page heading,ぺーじのあたまがき
overleaf,ぺーじのうら
page orientation,ぺーじのむき
page number,ぺーじばんごう
to paginate,ぺーじばんごうをつける
page view,ぺーじびゅー
page file,ぺーじふぁいる
page fault,ぺーじふぉると
page printer,ぺーじぷりんた
page printer,ぺーじぷりんたー
page frame,ぺーじふれーむ
page translation exception,ぺーじへんかんれいがい
page boy,ぺーじぼーい
page body,ぺーじほんたい
PageMill,ぺーじみる
page mode,ぺーじもーど
pager,ぺーじゃ
pager,ぺーじゃー
beige,べーじゅ
beige (coloured),べーじゅいろ
page reader,ぺーじよみとりそうち
page layout program,ぺーじれいあうとぷろぐらむ
page frame,ぺーじわく
pagination,ぺーじわけ
page one,ぺーじわん
paging,ぺーじんぐ
pageable,ぺーじんぐかのう
paging technique,ぺーじんぐぎほう
base,べーす
bass,べーす
pace,ぺーす
salary increase (和製: base up),べーすあっぷ
base address,べーすあどれす
base address register,べーすあどれすれじすた
bass guitar,べーすぎたー
base station,べーすきち
base camp,べーすきゃんぷ
base coach,べーすこーち
BASE jumping,べーすじゃんぴんぐ
BASE jumping,べーすじゃんぷ
base station,べーすすてーしょん
base down,べーすだうん
paste,ぺーすと
pest,ぺーすと
paste,ぺーすとじょう
to base something on,べーすとする
to make something the basis,べーすとする
bass drum,べーすどらむ
pacing (e.g. in athletics, etc.),ぺーすはいぶん
pacing oneself,ぺーすはいぶん
baseband,べーすばんど
baseband transmission,べーすばんどでんそう
baseband LAN,べーすばんどらん
base point,べーすぽいんと
reference point,べーすぽいんと
baseball,べーすぼーる
baseball card,べーすぼーるかーど
pacemaker,ぺーすめーか
pacesetter,ぺーすめーか
pacemaker,ぺーすめーかー
pacesetter,ぺーすめーかー
base memory,べーすめもり
basement,べーすめんと
baseline,べーすらいん
baseline document,べーすらいんどきゅめんと
base running,べーすらんにんぐ
Paisley,ぺーずりー
base register,べーすれじすた
kiss (fre: baiser),べーぜ
Eurasian hazel (Corylus avellana),へーぜる
hazelnut,へーぜるなっつ
pathos,ぺーそす
beta-amyloid,べーたあみろいど
beta-galactosidase,べーたがらくとしだーぜ
beta test,べーたてすと
to beta test (something),べーたてすとをじっしする
betatron,べーたとろん
beta wave,べーたは
beta version,べーたばーじょん
beta version,べーたばん
beta decay,べーたほうかい
beta-lactam (var. of antibiotic),べーたらくたむけい
Behcet (syndrome),べーちぇっと
Behcets disease,べーちぇっとびょう
Behcet's syndrome,べーちぇっとびょう
Beethoven,べーとーヴぇん
Beethoven,べーとーべん
paper,ぺーぱー
vaporware,べーぱーうぇあ
paper cup,ぺーぱーかっぷ
paper company (i.e. existingonly on paper),ぺーぱーかんぱにー
papercraft,ぺーぱーくらふと
paper chromatography,ぺーぱーくろまとぐらふぃー
paper gold,ぺーぱーごーるど
paper towel,ぺーぱーたおる
written test (和製: paper test),ぺーぱーてすと
paper cell,ぺーぱーでんち
person with driving licence but no practice (practise, license) (和製: paper driver),ぺーぱーどらいばー
paper-knife,ぺーぱーないふ
paperback,ぺーぱーばっく
paper plan,ぺーぱーぷらん
paper holder,ぺーぱーほーるだー
paper holder,ぺーぱーほるだー
paperless,ぺーぱーれす
vapor lock,べーぱーろっく
paperwork,ぺーぱーわーく
paper feed,ぺーぱふぃーど
vapor lock,べーぱろっく
baby,べーび
baby,べーびー
pavement,ぺーぶめんと
pavement artist,ぺーぶめんとあーちすと
Hercules,へーらくれーす
Herakles,へーらくれーす
bay rum,べーらむ
veil,べーる
pale,ぺーる
pail,ぺーる
large can with a handle (和製: pail can),ぺーるかん
pail,ぺーるかん
pale white,ぺーるほわいと
Peyronie's disease,ぺーろにーびょう
vane,べーん
Belgrade,べおぐらーど
F clef,へおんきごう
bass clef,へおんきごう
Vega,べが
Pegasus,ぺがさす
Pegasus,ぺがすすざ
pecan (type of nut),ぺかん
hexachloroethane,へきさくろろえたん
potassium ferrocyanide,へきさしあのてつさんかりうむ
potassium ferricyanide,へきさしあのてつさんかりうむ
hexadecane,へきさでかん
hexane,へきさん
hexylresorcin,へきしるれぞるしん
hexogen,へきそーげん
hexose,へきそーす
hexoxy,へきそきし
Pekinese (dog),ぺきにーず
Pekingology,ぺきのろじー
being gobsmacked,へきへき
being struck dumb,へきへき
being fed up with something,へきへき
pegging,ぺぎんぐ
Convention of Peking (1860),ぺきんじょうやく
Beijing cuisine,ぺきんりょうり
peg,ぺぐ
vector,べくた
vector,べくたー
vector graphics,べくたーぐらふぃっくす
vector construction (biology),べくたーこうちく
vector font,べくたーふぉんと
hectare,へくたーる
vector graphics,べくたぐらふぃっくす
vector font,べくたふぉんと
pectin,ぺくちん
pectine,ぺくちん
hecto-,へくと
10^2,へくと
hectogramme,へくとぐらむ
hectopascal,へくとぱすかる
hectometre,へくとめーとる
hectolitre,へくとりっとる
vector (ger: Vektor),べくとる
vector space,べくとるくうかん
vector generator,べくとるじぇねれーた
array processor,べくとるしょりきこう
vector processor,べくとるしょりきこう
array processor,べくとるしょりそうち
vector processor,べくとるしょりそうち
cross product,べくとるせき
vector product,べくとるせき
outer product,べくとるせき
vector subscript,べくとるそえじ
vector value,べくとるち
vector data,べくとるでーた
vector generator,べくとるはっせいき
vector font,べくとるふぉんと
vector processor,べくとるぷろせっさ
vector potential,べくとるぽてんしゃる
vector label,べくとるらべる
vector quantity,べくとるりょう
pegmatite,ぺぐまたいと
becquerel,べくれる
vecuronium (muscle relaxant),べくろにうむ
x-mark (used to indicate an incorrect answer in a test, etc.),ぺけ
impossibility,ぺけ
futility,ぺけ
uselessness,ぺけ
hegemony (ger: Hegemonie),へげもにー
Cyathea spinulosa (species of tree fern),へご
begonia,べごにあ
pecorino,ぺこりーの
VESA,べさ
heather,へざー
peasant,ぺざんと
hessian cloth,へしあんくろす
Bezier,べじぇ
Bezier curve,べじぇきょくせん
vegetable,べじたぶる
vegetarian,べじたりあん
Vegemite (food paste made from yeast extract),べじまいと
pessimistic,ぺしみすちっく
pessimistic,ぺしみすてぃっく
pessimist,ぺしみすと
pessimism,ぺしみずむ
hijab (Muslim head covering for women),へじゃぶ
bechamel sauce,べしゃめるそーす
Hegira,へじら
Hejira,へじら
Hijra,へじら
pescatore (used in reference to Italian dishes with seafood),ぺすかとーれ
Hestia (Greek goddess),へすてぃあ
best,べすと
vest,べすと
black plague (fre: peste),ぺすと
having reached the quarterfinals (和製: best eight),べすとえいと
best effort,べすとえふぉーと
best effort type,べすとえふぉーとかた
plague bacillus (Yersinia pestis, formerly pasteurella pestis),ぺすときん
best condition,べすとこんでぃしょん
best-seller,べすとせらー
best type,べすとたいぷ
best time,べすとたいむ
best ten,べすとてん
best dresser,べすとどれっさー
having reached the semifinals (和製: best four),べすとふぉー
best friend,べすとふれんど
best member,べすとめんばー
pastry,ぺすとりー
Hess's law,へすのほうそく
Hizbollah,へずぼっらー
Hezbollah,へずぼっらー
Hisbollah,へずぼっらー
Hizballah,へずぼっらー
Hizbollah,へずぼら
Hezbollah,へずぼら
Hisbollah,へずぼら
Hizballah,へずぼら
peseta,ぺせた
bezel,べぜる
navel,へそ
belly button,へそ
peso,ぺそ
peccary,へそいのしし
betta (esp. the Siamese fighting fish, Betta splendens),べた
peta-,ぺた
10^15,ぺた
better,べたー
better half,べたーはーふ
silver sea bream (Sparus sarba),へだい
solid printing,べたいんさつ
extreme clumsiness,へたくそ
severe lack of skill at a task,へたくそ
You're hopeless!,へたくそ
Give it up!,へたくそ
petabyte,ぺたばいと
pedal,ぺだる
petanque,ぺたんく
pedantism,ぺだんちずむ
pedantic,ぺだんちっく
F minor,へたんちょう
pedant,ぺだんと
pedantry,ぺだんとりー
petticoat,ぺちこーと
petticoat government,ぺちこーとがばめんと
chattering,ぺちゃくちゃ
chit-chat,ぺちゃくちゃ
prattle,ぺちゃくちゃ
petunia,ぺちゅにあ
key of F (music),へちょう
F major,へちょうちょう
peccary,ぺっかりー
Becky!,べっきー
peg,ぺっぐ
Fomitella fraxinea,べっこうたけ
pessary,ぺっさりー
hedge,へっじ
hedge fund,へっじふぁんど
hedgehog,へっじほっぐ
hedging,へっじんぐ
header,へっだ
header,へっだー
header file (.h),へっだーふぁいる
header file,へっだふぁいる
header record,へっだれこーど
crushed flat,ぺったんこ
flattened,ぺったんこ
squashed,ぺったんこ
flat-topped,ぺったんこ
flat-chested girl,ぺったんこ
sound of a sticky rice cake sticking to something,ぺったんこ
heading,へっでぃんぐ
heavy petting,ぺってぃんぐ
sexual petting,ぺってぃんぐ
start of heading,へっでぃんぐかいし
start of header,へっでぃんぐかいし
SOH,へっでぃんぐかいし
beef dripping (fat) (dut: vet),へっと
head,へっど
bet,べっと
vet,べっと
bed,べっど
pet,ぺっと
trumpet,ぺっと
head up,へっどあっぷ
going to bed (usu. with someone) (和製: bed in),べっどいん
headend,へっどえんど
headgear,へっどぎあ
head switching,へっどきりかえ
headquarters,へっどくぉーたー
headquarters,へっどくおーたー
head crash,へっどくらっしゅ
head cleaning kit,へっどくりーにんぐきっと
flying height,へっどこう
head gap,へっどこう
head coach,へっどこーち
bedside,べっどさいど
bedroom scene,べっどしーん
head scissors,へっどしざーす
head crash,へっどしょうとつ
pet shop,ぺっとしょっぷ
headstock,へっどすとっく
headspin,へっどすぴん
head sliding,へっどすらいでぃんぐ
headset (for phones, etc.),へっどせっと
bedroom community (和製: bed town),べっとたうん
dormitory town,べっとたうん
commuter town,べっとたうん
bedroom community (和製: bed town),べっどたうん
dormitory town,べっどたうん
commuter town,べっどたうん
head,へっどでぃすくあせんぶり
disk assembly,へっどでぃすくあせんぶり
HDA,へっどでぃすくあせんぶり
pet name,ぺっとねーむ
bed house,べっどはうす
flower-patterned material used to bind the ends of the spine in books (和製: head band),へっどばん
headhunter,へっどはんたー
head-hunting,へっどはんてぃんぐ
recruiting professionals from other companies,へっどはんてぃんぐ
head piece,へっどぴーす
pet-communicated infection,ぺっとびょう
headpin (bowling),へっどぴん
pet food,ぺっとふーど
headphone,へっどふぉん
head voice,へっどぼいす
headboard,へっどぼーど
headphone,へっどほーん
headphone,へっどほん
head-mounted (display, for VR),へっどまうんてっど
head mounted display,へっどまうんとでぃすぷれい
HMD,へっどまうんとでぃすぷれい
making beds,べっどめいきんぐ
making beds,べっどめーきんぐ
pet store,ぺっとや
headlight,へっどらいと
headline,へっどらいん
headlamp,へっどらんぷ
head-room,へっどるーむ
bedroom,べっどるーむ
headless,へっどれす
headless server,へっどれすさーば
headrest (esp. on a car seat),へっどれすと
head loading zone,へっどろーでぃんぐいき
emotional effect on pet owners from losing their pet (和製: pet loss),ぺっとろす
headlock,へっどろっく
headwork,へっどわーく
pepper,ぺっぱー
pepper mill,ぺっぱーみる
pedicure,ぺでぃきゅあ
pediment,ぺでぃめんと
heading,へでぃんぐ
pedestal,ぺですたる
pedestrian,ぺですとりあん
pedestrian deck,ぺですとりあんでっき
person with a lot of experience,べてらん
old hand,べてらん
veteran (in a particular field),べてらん
person with a lot of experience,べでらん
old hand,べでらん
veteran (in a particular field),べでらん
hetero,へてろ
heterosis,へてろーしす
heterocaryon,へてろかりおん
heterochromatin,へてろくろまちん
heterogeneous,へてろじーにあす
heterosis,へてろしす
heterogeneous,へてろじにあす
heterogeneous consolidation,へてろじにあすこんそりでーしょん
heterozygote,へてろせつごうたい
heterodyne,へてろだいん
heterodoxy,へてろどきしー
heterodox,へてろどっくす
swindler,ぺてんし
imposter,ぺてんし
crook,ぺてんし
Bedouin,べどうぃん
Vietcong,べとこん
Viet Cong (communist guerrilla soldiers who fought in South Vietnam during the Vietnam War),べとこん
to be sticky,べとつく
Vietnam,べとなむ
Vietnamese (language),べとなむご
Vietnamese (person),べとなむじん
Vietnam war,べとなむせんそう
hedonist,へどにすと
hedonism,へどにずむ
headband,へどばん
pedophilia,ぺどふぃりあ
Vietminh (Vietnamese Independence League organized to obtain freedom from French colonial rule),べとみん
pedometer,ぺどめーたー
Petri,ぺとり
Petri dish,ぺとりさら
Petri dish,ぺとりざら
Petri-net,ぺとりねっと
sludge,へどろ
slime,へどろ
chemical ooze,へどろ
petroleum,ぺとろーりあむ
white spirit (fre: petrole),ぺとろーる
mineral spirits,ぺとろーる
petrol,ぺとろーる
gasoline,ぺとろーる
petrodollar,ぺとろだらー
First Epistle of Peter (book of the Bible),ぺとろのてがみいち
Second Epistle of Peter (book of the Bible),ぺとろのてがみに
petroleum,ぺとろふーど
petrofood,ぺとろふーど
petrolatum,ぺとろらたむ
penalty,ぺなるてぃ
penalty,ぺなるてぃー
penalty area,ぺなるてぃーえりあ
penalty area,ぺなるてぃーえるあ
penalty kick,ぺなるてぃーきっく
penalty goal,ぺなるてぃーごーる
PG,ぺなるてぃーごーる
penalty box,ぺなるてぃーぼっくす
penalty kick,ぺなるてぃきっく
pennant,ぺなんと
pennant race,ぺなんとれーす
penny,ぺにー
pennyweight,ぺにーうぇーと
full-blooded tellin (Pharaonella sieboldii),べにがい
sockeye salmon (Oncorhynchus nerka),べにざけ
red salmon,べにざけ
penicillamine,ぺにしらみん
penicillin,ぺにしりん
penicillin anaphylaxy,ぺにしりんあなふぃらきしー
penicillin allergy,ぺにしりんあれるぎー
penicillin shock,ぺにしりんしょっく
penis,ぺにす
elephant hawk moth (Deilephila elpenor),べにすずめ
red avadavat (Amandava amandava),べにすずめ
strawberry finch,べにすずめ
red munia,べにすずめ
penis envy,ぺにすせんぼう
red snow crab (Chionoecetes japonicus),べにずわいがに
fly agaric (species of poisonous mushroom, Amanita muscaria),べにてんぐたけ
red-billed chough (Pyrrhocorax pyrrhocorax),べにはしがらす
strap on dildo,ぺにばん
pfennig (ger: Pfennig),ぺにひ
common redpoll (Carduelis flammea),べにひわ
veneer,べにや
plywood,べにやいた
venetian,べねしゃん
Venezuela,べねずえら
Venetian glass,べねちあんぐらす
Venetian blind,べねちあんぶらいんど
Order of Saint Benedict,べねでぃくとしゅうどうかい
penetration test,ぺねとれーしょんてすと
benefit,べねふぃっと
Benelux,べねるっくす
Benelux countries (Belgium, the Netherlands, Luxembourg),べねるっくす
pepper,ぺぱー
peppermint,ぺぱーみんと
heparin,へぱりん
pepperoni,ぺぱろに
heavy,へびー
baby,べびー
baby doll,べびぃーどーる
baby oil,べびーおいる
one-piece garment with snaps up the front, sort of like a jumpsuit for babies (和製: baby all),べびーおーる
stroller (和製: baby car),べびーかー
heavyweight,へびーきゅう
play pen (和製: baby circle),べびーさーくる
baby-sitter,べびーしったー
babysitter,べびーしったー
heavy smoker,へびーすもーかー
heavy smoker,へびーすもかー
small-sized wardrobe,べびーだんす
false strawberry (Duchesnea chrysantha),へびいちご
mock strawberry,へびいちご
baby doll,べびぃどーる
baby doll,べびーどーる
alcoholic (from heavy drinker),へびーどりんかー
baby powder,べびーぱうだー
baby buggy,べびーばぎー
baby pink,べびーぴんく
baby food,べびーふーど
baby boomer,べびーぶーまー
baby boom,べびーぶーむ
baby face,べびーふぇいす
baby face,べびーふぇーす
baby blue,べびーぶるー
crib (和製: baby bed),べびーべっど
basinette,べびーべっど
unlicensed child care (和製: baby hotel),べびーほてる
