ozone layer,おぞんそう
creeping inflation,くりーぴんぐいんふれーしょん
creep,くりーぷ
Creap,くりーぷ
creamy (in flavor or texture),くりーみー
cream,くりーむ
cream (colour, color),くりーむいろ
cream sundae,くりーむさんでー
cream skimming,くりーむすきみんぐ
cream sauce,くりーむそーす
ice cream soda,くりーむそーだ
icecream soda,くりーむそーだ
cream cheese,くりーむちーず
cream-filled roll,くりーむぱん
clean,くりーん
green,ぐりーん
environmentally friendly,ぐりーん
green architecture,ぐりーんあーきてくちゃー
green asparagus,ぐりーんあすぱらがす
clean up (esp. baseball),くりーんあっぷ
cleanup trio (baseball),くりーんあっぷとりお
green anole (Anolis carolinensis),ぐりーんあのーる
green iguana (Iguana iguana),ぐりーんいぐあな
clean install,くりーんいんすとーる
green age,ぐりーんえーじ
clean energy,くりーんえねるぎー
green card (United States Permanent Resident Card),ぐりーんかーど
green card (international insurance certificate for United Kingdom motorists),ぐりーんかーど
green (car) ticket,ぐりーんけん
green coordinator,ぐりーんこーでぃねーたー
green salad,ぐりーんさらだ
green car (1st class),ぐりーんしゃ
green school,ぐりーんすくーる
green tuff,ぐりーんたふ
taking a relaxed holiday in a rural area (和製: green tourism),ぐりーんつーりずむ
green tea,ぐりーんてぃー
green technology,ぐりーんてくのろじー
cleanup,くりーんなっぷ
cleanup trio (baseball),くりーんなっぷとりお
greenhouse,ぐりーんはうす
greenback,ぐりーんばっく
environmentally friendly computer (e.g. low power consumption) (和製: green PC),ぐりーんぴーしー
green peas,ぐりーんぴーす
Greenpeace,ぐりーんぴーす
vented heater,くりーんひーたー
clean heater,くりーんひーたー
clean hit,くりーんひっと
clean bill,くりーんびる
green fee,ぐりーんふぃー
clean boot,くりーんぶーと
Green Book,ぐりーんぶっく
clean float,くりーんふろーと
green belt,ぐりーんべると
green beret,ぐりーんべれー
green boy,ぐりーんぼーい
greenmailer,ぐりーんめーらー
greenmail,ぐりーんめーる
clean rice,くりーんらいす
Greenland,ぐりーんらんど
Greenland,ぐりーんらんどとう
green leaf,ぐりーんりーふ
clean room (e.g. in semiconductor manufacturing),くりーんるーむ
cleanroom,くりーんるーむ
green rate,ぐりーんれーと
green revolution,ぐりーんれぼりゅーしょん
clean loan,くりーんろーん
Clie,くりえ
CLIE,くりえ
creator,くりえいたー
inventor,くりえいたー
developer,くりえいたー
creative,くりえいてぃヴ
creative,くりえいてぃぶ
creative content,くりえいてぃぶこんてんつ
create,くりえいと
creation,くりえーしょん
creator,くりえーた
creator,くりえーたー
creativity,くりえーてぃびてぃー
creative,くりえーてぃぶ
creative agency,くりえーてぃぶえーじぇんしー
creative group,くりえーてぃぶぐるーぷ
create,くりえーと
Griot,ぐりお
Jeli,ぐりお
type of African poet or bard,ぐりお
Griot,ぐりおー
Jeli,ぐりおー
type of African poet or bard,ぐりおー
creole,くりおーる
glyoxysome,ぐりおきしそーむ
glyoxylate cycle,ぐりおきしるさんかいろ
clione,くりおね
sea angel,くりおね
cliometrics,くりおめとりくす
grinding against,ぐりぐり
rubbing with turning movements (e.g. shoulders),ぐりぐり
hard lump under the skin (e.g. an adipous tumor or lymph node tumor),ぐりぐり
big and round eyes,ぐりぐり
googly eyes,ぐりぐり
rattling sound,ぐりぐり
big and round eyes,ぐりぐりめだま
googly eyes,ぐりぐりめだま
cricket (game),くりけっと
cricket club,くりけっとくらぶ
glycogen,ぐりこーげん
glycol,ぐりこーる
glycosidase,ぐりこしだーぜ
glycoside,ぐりこしど
Christmas concert,くりこん
cliche,くりしぇ
chestnut weevil (Curculio dentipes),くりしぎぞうむし
glycine,ぐりしん
grease,ぐりす
klister (warm-weather ski wax),くりすたー
crystal,くりすたる
crystal glass,くりすたるがらす
crystal glass,くりすたるぐらす
crystal fruit,くりすたるふるーつ
crystal microphone,くりすたるまいくろふぉん
crystal microphone,くりすたるまいくろほん
Kristiania,くりすちゃにあ
Christiania,くりすちゃにあ
Christian,くりすちゃん
Christian gangsta rap,くりすちゃんぎゃんぐすたらっぷ
Christian Science,くりすちゃんさいえんす
Christian name,くりすちゃんねーむ
Christian rap,くりすちゃんらっぷ
Christian rock,くりすちゃんろっく
crispy,くりすぴー
crisp bread,くりすぷぶれっど
Christmas,くりすます
Christmas Eve,くりすますいヴ
Christmas Eve,くりすますいぶ
Christmas card,くりすますかーど
Christmas carol,くりすますかろる
Christmas carol,くりすますきゃろる
Christmas cake,くりすますけーき
Christmas tree,くりすますつりー
Christmas party,くりすますぱーてぃ
Christmas party,くりすますぱーてぃー
Christmas present,くりすますぷれぜんと
Christmas wreath,くりすますりーす
Christmas rose (Helleborus niger),くりすますろーず
grizzly bear (Ursus arctos horribilis),ぐりずりー
brown bear (Ursus arctos),ぐりずりー
grizzly bear (Ursus arctos horribilis),ぐりずりーべあ
glissade,ぐりせーど
griseofulvin,ぐりせおふるびん
glyceride,ぐりせりど
glycerin,ぐりせりん
glycerol,ぐりせりん
glyceraldehyde,ぐりせるあるでひど
glycerol,ぐりせろーる
the spitting image of,くりそつ
identical,くりそつ
chrysoberyl,くりそべりる
clitoris,くりちゃん
clickable imagemap,くりっかぶるいめーじまっぷ
clickable map,くりっかぶるまっぷ
click,くりっく
click guaranteed,くりっくほしょう
click rate,くりっくれーと
glissando,ぐりっさんど
grissini,ぐりっしーに
glitch,ぐりっち
gridding,ぐりっでぃんぐ
grit,ぐりっと
grid,ぐりっと
grid,ぐりっど
grid computing,ぐりっどこんぴゅーてぃんぐ
grid bias,ぐりっどばいあす
grid pattern,ぐりっどぱたーん
grid planning,ぐりっどぷらにんぐ
grid plan,ぐりっどぷらん
clipper,くりっぱー
Clipper Chip,くりっぱーちっぷ
clipping,くりっぴんぐ
clipping path,くりっぴんぐぱす
clip,くりっぷ
grip,ぐりっぷ
clip art,くりっぷあーと
clip collection,くりっぷこれくしょん
clipboard,くりっぷぼーど
clipboard computer,くりっぷぼーどこんぴゅーた
critique,くりてぃーく
critical,くりてぃかる
critical error,くりてぃかるえらー
critical-error handler,くりてぃかるえらーはんどら
critical section,くりてぃかるせくしょん
critical path,くりてぃかるぱす
critical path method,くりてぃかるぱすほう
criticism,くりてぃしずむ
critic,くりてぃっく
clitoris,くりと
clitoris,くりとりす
Greenwich Time,ぐりにじじ
clinic,くりにっく
Greenwich (Mean Time),ぐりにっじ
Greenwich Time,ぐりにっじじ
Greenwich mean time,ぐりにっじひょうじゅんじ
Greenwich Mean Time,ぐりにっじへいきんじ
GMT,ぐりにっじへいきんじ
clinometer,くりのめーた
clinometer,くりのめーたー
crinoline,くりのりん
Christmas party,くりぱ
clivia,くりびあ
glyph,ぐりふ
griffon,ぐりふぉん
Kripke,くりぷけ
glyph shape,ぐりふけいじょう
glyph coordinate system,ぐりふざひょうけい
glyph collection,ぐりふしゅうごう
glyph image,ぐりふぞう
glyph procedure,ぐりふてつづき
glyph procedure interpreter,ぐりふてつづきいんたぷりた
crypto,くりぷと
cryptococcosis,くりぷとこっかすしょう
Cryptosporidium,くりぷとすぽりじうむ
cryptophyte,くりぷとそう
krypton (Kr),くりぷとん
glyph metrics,ぐりふはいちりょう
glyph representation,ぐりふひょうげん
Crimean War,くりみあせんそう
crimson,くりむそん
crimson,くりむぞん
crimson lake,くりむそんれーき
Grimm's law,ぐりむのほうそく
grimoire,ぐりもあ
manual of black magic,ぐりもあ
book of magic and spells,ぐりもあ
climograph,くりもぐらふ
grimoire,ぐりもわーる
manual of black magic,ぐりもわーる
book of magic and spells,ぐりもわーる
to clear,くりやー
gruyere,ぐりゅいえーる
grill,ぐりる
grill cover,ぐりるかばー
grill-mounted connector,ぐりるこねくた
grill-mounting connector,ぐりるこねくた
grilled cheese sandwich,ぐりるどちーずさんど
grilled cheese,ぐりるどちーずさんど
grilled cheese sandwich,ぐりるどちーずさんどいっち
grilled cheese,ぐりるどちーずさんどいっち
clinker,くりんかー
clinker tile,くりんかーたいる
gringo,ぐりんご
Klingon (fictitious language),くりんごんご
clinch,くりんち
green peas,ぐりんぴーす
Greenpeace,ぐりんぴーす
glimpse,ぐりんぷす
Koran (ara: kuran),くるあーん
Qur'an,くるあーん
Quran,くるあーん
the Islamic holy book,くるあーん
group interview,ぐるいん
crew,くるー
glue,ぐるー
groove,ぐるーヴ
gluon,ぐるーおん
Krugerrand,くるーがーらんど
crew-cut (type of haircut),くるーかっと
cruiser (i.e. warship or cabin cruiser),くるーざー
cruising,くるーじんぐ
cruise,くるーず
crusader,くるーせーだー
Crusade,くるーせーど
Crusoe,くるーそ
Crusoe,くるーそー
crew socks,くるーそっくす
crouton,くるーとん
crooner,くるーなー
crew neck (sweater),くるーねっく
groovy,ぐるーびー
groupie,ぐるーぴー
grouping,ぐるーぴんぐ
grouping-effect,ぐるーぴんぐえふぇくと
croup,くるーぷ
group (usu. of people),ぐるーぷ
group identifier,ぐるーぷあいでぃー
GID,ぐるーぷあいでぃー
group address,ぐるーぷあどれす
godan verb,ぐるーぷいちどうし
group interview,ぐるーぷいんたびゅー
group box,ぐるーぷうぃんどう
group window,ぐるーぷうぃんどう
groupware,ぐるーぷうぇあ
groupware,ぐるーぷうえあ
grouping,ぐるーぷか
group care,ぐるーぷけあ
group commit,ぐるーぷこみっと
rock band (和製: group sounds),ぐるーぷさうんず
group interaction,ぐるーぷさぎょう
grouping isolation,ぐるーぷぜつえん
group dynamics,ぐるーぷだいなみっくす
group discussion,ぐるーぷでぃすかっしょん
group broadcast,ぐるーぷどうほう
ichidan verb,ぐるーぷにどうし
type II verb,ぐるーぷにどうし
group separator,ぐるーぷぶんりきゃらくた
GS,ぐるーぷぶんりきゃらくた
group home,ぐるーぷほーむ
group box,ぐるーぷぼっくす
group window,ぐるーぷぼっくす
group heading,ぐるーぷみだし
group rate system,ぐるーぷりょうきんせい
group work,ぐるーぷわーく
groomer,ぐるーまー
gloomy,ぐるーみー
grooming,ぐるーみんぐ
cruller,くるーらー
gluon,ぐるおん
Gurkha,ぐるか
glucagon,ぐるかごん
glucuronic acid,ぐるくろんさん
glucose,ぐるこーす
glucocorticoid,ぐるここるちこいど
glucosamine,ぐるこさみん
glucoside,ぐるこしど
Georgia (rus: Gruziya),ぐるじあ
Georgian Soviet Socialist Republic,ぐるじあそびえとしゃかいしゅぎきょうわこく
Georgian SSR,ぐるじあそびえとしゃかいしゅぎきょうわこく
GSSR,ぐるじあそびえとしゃかいしゅぎきょうわこく
cross sign (por: cruz),くるす
glutathione,ぐるたちおん
glutamine,ぐるたみん
glutamic acid,ぐるたみんさん
monosodium glutamate,ぐるたみんさんそーだ
MSG,ぐるたみんさんそーだ
monosodium glutamate,ぐるたみんさんなとりうむ
MSG,ぐるたみんさんなとりうむ
sodium glutamate,ぐるたみんさんなとりうむ
Crookes tube,くるっくすかん
croup,くるっぷ
glutelin,ぐるてりん
gluten,ぐるてん
gulden,ぐるでん
Kurd,くるど
Kurdish,くるど
crouton,くるとん
to conspire,ぐるになる
golf course,ぐるふこーす
golf bag,ぐるふばっぐ
Major Mitchell's cockatoo (Cacatua leadbeateri),くるまさかおうむ
Leadbeater's cockatoo,くるまさかおうむ
sweet woodruff (Asperula odorata),くるまばそう
Paris verticillata (flowering plant closely related to herb Paris),くるまばつくばねそう
gourmand,ぐるまん
Juglandaceae (plant family),くるみか
the walnut family,くるみか
the order Juglandales (plant),くるみもく
krummhorn (ger: Krummhorn),くるむほるん
crumhorn,くるむほるん
gourmet,ぐるめ
chloroform,くるるほるむ
Chloromycetin,くるるまいせちん
glare,ぐれあ
creatinine,くれあちにん
creatinine clearance,くれあちにんくりあらんす
creatine,くれあちん
creatine phosphate,くれあちんりんさん
creator (fre: createur),くれあとぅーる
glare filter,ぐれあふぃるた
clay,くれい
grey (gray),ぐれい
gray (SI unit of absorbed dose of radiation),ぐれい
crazy,くれいじー
grace,ぐれいす
gravy,ぐれいびー
grave,ぐれいぶ
CRAY-1,くれいわん
grain whisky,ぐれいんういすきー
grain whiskey,ぐれいんういすきー
clay,くれー
grey (gray),ぐれー
graying,ぐれーいんぐ
greying,ぐれーいんぐ
gray-collar,ぐれーからー
grey-collar,ぐれーからー
clay court (tennis),くれーこーと
gray code,ぐれーこーど
crazy,くれーじー
glacier,ぐれーしゃー
gray scale,ぐれーすけーる
gray zone,ぐれーぞーん
grey zone,ぐれーぞーん
crater,くれーたー
grader,ぐれーだー
clade,くれーど
great,ぐれーと
grade,ぐれーど
upgrade (和製: grade up),ぐれーどあっぷ
update,ぐれーどあっぷ
Great Dane (type of dog),ぐれーとでん
crate training,くれーととれーにんぐ
housebreaking,くれーととれーにんぐ
house-training,くれーととれーにんぐ
Great Britain,ぐれーとぶりてん
cradle,くれーどる
graver,ぐれーばー
greyhound,ぐれーはうんど
gravy,ぐれーびー
Grevy's zebra (Equus grevyi),ぐれーびーしまうま
Grevy's zebra (Equus grevyi),ぐれーびーしまうま
Grevy's zebra (Equus grevyi),ぐれーびーしまうま
Grevy's zebra (Equus grevyi),ぐれーびーしまうま
clay pigeon,くれーぴじょん
crepe,くれーぷ
pancake,くれーぷ
grape,ぐれーぷ
crepe shirt,くれーぷしゃつ
grape juice,ぐれーぷじゅーす
crepe de Chine,くれーぷでしん
grapefruit,ぐれーぷふるーつ
crape paper,くれーぷぺーぱー
claimer,くれーまー
claimant,くれーまー
customer complaint seeking compensation,くれーむ
claim (for compensation),くれーむ
complaint,くれーむ
objection,くれーむ
cream (fre: creme),くれーむ
creme anglaise,くれーむあんぐれーず
handling complaints,くれーむしょり
claim token,くれーむとーくん
creme brulee,くれーむぶりゅれ
crane,くれーん
grain (1-7000 of a pound, approx. 64.80 mg),ぐれーん
grain whisky,ぐれーんういすきー
crane,くれーんしゃ
creole (pidgin which has become a mother tongue),くれおーる
Creole (person of mixed ancestry, esp.in the Caribbean),くれおーる
creole (pidgin that has become a mother tongue),くれおーるご
creosote,くれおそーと
creosote oil,くれおそーとゆ
If Cleopatra's nose had been a little lower, the history of the world might have been different,くれおぱとらのはながもうすこしひくかったならせかいのれきしはかわっていたであろう
cleome (esp. the spider flower, Cleome hassleriana),くれおめ
Gregorian (calendar),ぐれごりお
Gregorian chant,ぐれごりおせいか
Gregorian calendar,ぐれごりおれき
Greco-Roman (style of wrestling),ぐれころーまん
Greco-Roman style,ぐれころーまんすたいる
crescendo,くれしぇんど
credit,くれじっと
credit card,くれじっとかーど
credit card company,くれじっとかーどがいしゃ
CAT,くれじっとかーどよしんしょうかいようたんまつ
Credit Authorization Terminal,くれじっとかーどよしんしょうかいようたんまつ
credit crunch,くれじっとくらんち
credit title,くれじっとたいとる
credit derivative,くれじっとでりばてぃぶ
credit facility,くれじっとふぁしりてぃ
credit-based (flow control mechanism),くれじっとべーす
creditholic,くれじっとほりっく
credit line,くれじっとらいん
credit risk,くれじっとりすく
Gresham's Law (when there is a legal tender currency bad money drives good money out of circulation),ぐれしゃむのほうそく
crescent,くれせんと
cresol (ger: Kresol),くれぞーる
saponated cresol solution,くれぞーるせっけんえき
watercress (fre: cresson),くれそん
Henon bamboo (Phyllostachys nigra var. henonis),くれたけ
cretinism,くれちんびょう
crescendo,くれっしぇんど
crescent,くれっせんと
grep,ぐれっぷ
credibility gap,くれでぃびりてぃーぎゃっぷ
credo,くれど
Grenada,ぐれなだ
Grenada (island of),ぐれなだとう
grenadine syrup,ぐれなでぃんしろっぷ
grenade,ぐれねーど
crevasse,くればす
pastel crayons,くれぱす
cravenette,くればねっと
Grevy's zebra (Equus grevyi),ぐれびーしまうま
Grevy's zebra (Equus grevyi),ぐれびーしまうま
Krebs cycle,くれぶすかいろ
Kraepelin,くれぺりん
clematis,くれまちす
Kremlinology,くれむりのろじー
Kremlin,くれむりん
gremlin,ぐれむりん
credit memo,くれめも
crayon,くれよん
cleric,くれりっく
CREN,くれん
cleanser,くれんざー
cleansing,くれんじんぐ
cleansing cream,くれんじんぐくりーむ
cleansing foam,くれんじんぐふぉーむ
cleansing lotion,くれんじんぐろーしょん
glen check,ぐれんちぇっく
clamp (ger: Klemme),くれんめ
forceps,くれんめ
grotesque,ぐろ
spangle (species of black swallowtail butterfly, Papilio protenor),くろあげは
black-footed albatross (Diomedea nigripes),くろあしあほうどり
Croatia,くろあちあ
grotesque,ぐろい
disgusting,ぐろい
gross,ぐろい
cloister,くろいすたー
Creutzfeldt-Jakob disease,くろいつふぇるとやこぶやまい
CJD,くろいつふぇるとやこぶやまい
crow,くろう
Clow Card,くろうかーど
Clow Cards,くろうかーど
black cow-tongue (species of tonguefish, Paraplagusia japonica),くろうしのした
blackbird (Turdus merula),くろうたどり
Rhamnaceae (plant family),くろうめもどきか
buckthorn,くろうめもどきか
the order Rhamnales (plant),くろうめもどきもく
crawler,くろうらー
glove,ぐろーヴ
Japanese carpenter ant (Camponotus japonicus),くろおおあり
crocus,くろーかす
cloakroom,くろーく
checkroom,くろーく
cloakroom,くろーくるーむ
closer (baseball),くろーざー
grocery,ぐろーさりー
closure,くろーじゃ
cloche,くろーしゅ
cross,くろーす
gross,くろーす
cloth,くろーす
close,くろーず
close-up,くろーずあっぷ
glow starter,ぐろーすたーたー
glowstick,ぐろーすてぃっく
neon light stick,ぐろーすてぃっく
closed,くろーずど
closed architecture,くろーずどあーきてくちゃ
closed-end,くろーずどえんど
closed-end mortgage,くろーずどえんどもーげーじ
closed system,くろーずどしすてむ
closed shop,くろーずどしょっぷ
closed shop system (employment of only union members),くろーずどしょっぷせい
closed stance,くろーずどすたんす
closed pot,くろーずどぽっと
closed mortgage,くろーずどもーげーじ
closed union,くろーずどゆにおん
close box,くろーずぼっくす
growth recession,ぐろーすりせっしょん
closet,くろーぜっと
krona,くろーな
cloning,くろーにんぐ
clonus,くろーぬす
krone,くろーね
clover,くろーばー
globalization,ぐろーばらいぜいしょん
globalisation,ぐろーばらいぜいしょん
globalist,ぐろーばりすと
globalism,ぐろーばりずむ
globalization,ぐろーばりぜーしょん
globalisation,ぐろーばりぜーしょん
global,ぐろーばる
global IP address,ぐろーばるあいぴーあどれす
global address,ぐろーばるあどれす
global war,ぐろーばるうぉー
globalization,ぐろーばるか
global group,ぐろーばるぐるーぷ
global format,ぐろーばるけいしき
global search,ぐろーばるけんさく
global supply-chain,ぐろーばるさぷらいちぇーん
global standards,ぐろーばるすたんだーど
global declaration,ぐろーばるせんげん
global data,ぐろーばるでーた
global deflation,ぐろーばるでふれ
global transaction,ぐろーばるとらんざくしょん
global network addressing domain,ぐろーばるねっとわーくあどれすりょういき
global powers,ぐろーばるぱわー
global village,ぐろーばるびれっじ
global variable,ぐろーばるへんすう
global market,ぐろーばるまーけっと
global-title,ぐろーばるめいしょう
global memory pool,ぐろーばるめもりぷーる
global roaming,ぐろーばるろーみんぐ
clove,くろーぶ
globe,ぐろーぶ
glove,ぐろーぶ
glove box,ぐろーぶぼっくす
glove compartment,ぐろーぶぼっくす
glow discharge,ぐろーほうでん
glow discharge optical emission spectrometry,ぐろーほうでんはっこうぶんこうほう
chromium (Cr) (ger: Chrom, fre: chrome),くろーむ
chrome yellow,くろーむいえろー
crawler (e.g. a web crawler or robot),くろーらー
glow lamp,ぐろーらんぷ
gloria (lat: gloria),ぐろーりあ
glory (i.e. an anticorona),ぐろーりー
crawling peg,くろーりんぐぺっぐ
crawl,くろーる
clone,くろーん
cloning technology,くろーんぎじゅつ
clonal selection theory,くろーんせんたくせつ
cloned animal,くろーんどうぶつ
clone,くろーんにんげん
Crohn's disease,くろーんびょう
clone maker,くろーんめーか
Indo-Pacific blue marlin (Makaira mazara),くろかじき
black mustard (Brassica nigra),くろがらし
off-road vehicle (from cross-country),くろかん
gloxinia,ぐろきしにあ
Caulerpa scalpelliformis (species of green alga),くろきづた
black-necked spitting cobra (Naja nigricollis),くろくびこぶら
grosgrain (fre: gros-grain),ぐろぐらん
Eleocharis kuroguwai (species of spikerush),くろぐわい
Chinese water chestnut (Eleocharis dulcis),くろぐわい
croquet,くろけっと
croquette,くろけっと
black pepper (Piper nigrum),くろこしょう
crocodile,くろこだいる
cross-country skiing,くろこん
black rhinoceros (Diceros bicornis),くろさい
cross,くろす
gross,くろす
cloth,くろす
gross,ぐろす
cross trade,くろすあきない
cross assembler,くろすあせんぶら
cross-examination,くろすえぐざみねーしょん
cross organization,くろすおーがにぜーしょん
crossover,くろすおーばー
crossover cable,くろすおーばーけーぶる
gloss optimizer,ぐろすおぷてぃまいざ
cross development,くろすかいはつ
cross counter,くろすかうんたー
cross-country (skiing),くろすかんとりー
cross-country race,くろすかんとりー
cross country skiing,くろすかんとりーすきー
cross-country race,くろすかんとりーれーす
cross kick (rugby),くろすきっく
black-currant (Ribes nigrum),くろすぐり
cassis,くろすぐり
crossing cable,くろすけーぶる
close game,くろすげーむ
cross connect,くろすこねくと
XCMD,くろすこまんど
cross compiler,くろすこんぱいら
cross-site scripting,くろすさいとすくりぷてぃんぐ
cross seat,くろすしーと
cross tabulation,くろすしゅうけい
cross-stitch,くろすすてぃっち
cross-stitch,くろすすてっち
Vespula flaviceps (species of yellowjacket),くろすずめばち
cross product,くろすせき
cross-section,くろすせくしょん
cross-selling,くろすせりんぐ
cross-selling (selling other products to a customer),くろすせる
cross sell,くろすせる
cross-check,くろすちぇっく
cross-checked fan,くろすちぇっくふぁん
crosstalk,くろすとーく
cross-training,くろすとれーにんぐ
gross ton,ぐろすとん
crossed Nichol prism,くろすにこる
crossbar,くろすばー
crossbar switchboard,くろすばーこうかんき
cross hatch,くろすはっち
cross bunker (golf),くろすばんかー
cross fire,くろすふぁいあ
crossfooting,くろすふってぃんぐ
cross-platform technology,くろすぷらっとふぉーむぎじゅつ
cross-platform,くろすぷらっとほーむ
close play,くろすぷれー
crosshead,くろすへっど
crossed belt,くろすべると
crosspoint,くろすぽいんと
cross-voting,くろすぼーてぃんぐ
cross-post,くろすぽすと
cross-license,くろすらいせんす
cross-licensing,くろすらいせんす
cross-language information access,くろすらんげーじじょうほうあくせす
cross-language information retrieval,くろすらんげーじじょうほうけんさく
CLIR,くろすらんげーじじょうほうけんさく
cross reference,くろすりふぁれんす
cross-referenced,くろすりふぁれんすけいしき
cross rate,くろすれーと
cross-reference,くろすれふぁれんす
crossword,くろすわーど
crossword puzzle,くろすわーどぱずる
closet,くろぜっと
clothoid,くろそいど
crocus,くろっかす
sketch (fre: croquis),くろっきー
rough draft,くろっきー
groggy,ぐろっきー
(artist's) sketch pad,くろっきーちょう
clocking,くろっきんぐ
clock,くろっく
grog,ぐろっぐ
clock up,くろっくあっぷ
clock source,くろっくきょうきゅうげん
clock cycle,くろっくさいくる
clock frequency,くろっくしゅうはすう
clock signal,くろっくしんごう
clock pulse,くろっくしんごう
clock speed,くろっくすぴーど
clock speed,くろっくそくど
clock frequency,くろっくそくど
clock rate,くろっくそくど
clock track,くろっくとらっく
clock generation logic,くろっくはっしんろじっく
clock signal,くろっくぱるす
clock pulse,くろっくぱるす
clock (signal) distribution,くろっくぶんぱい
Japanese thrush (Turdus cardis),くろつぐみ
clock rate,くろっくれーと
croquet,くろっけー
glossary,ぐろっさりー
glossy,ぐろっしー
crossing zone,くろっしんぐぞーん
glossolalia (the phenomenon of speaking in tongues),ぐろっそらりあ
crop,くろっぷ
cropped pants,くろっぷどぱんつ
grotesque,ぐろてすく
clotted cream,くろてっどくりーむ
sable (Martes zibellina),くろてん
parasitic jaeger,くろとうぞくかもめ
Arctic skua (Stercorarius parasiticus),くろとうぞくかもめ
croton,くろとん
chronicle,くろにくる
Kronecker,くろねっかー
Kronecker delta,くろねっかーのでるた
chrono,くろの
chronograph,くろのぐらふ
chronoscope,くろのすこーぷ
chronobiology,くろのばいおろじー
chronometer,くろのめーたー
chronology,くろのろじー
blowfly (excluding bluebottles and greenbottles),くろばえ
globule,ぐろびゅーる
globin,ぐろびん
black-currant (Ribes nigrum),くろふさすぐり
globulin,ぐろぶりん
chloromycetin,くろまい
chroma key,くろまきー
CROMACLEAR,くろまくりあ
CromaClear Tube,くろまくりあかん
chromatic,くろまちっく
chromatin,くろまちん
chromatography,くろまとぐらふぃー
chromatogram,くろまとぐらむ
chromatron,くろまとろん
Cro-Magnon,くろまにょん
Cro-Magnon man,くろまにょんじん
Bombus ignitus (species of bumblebee),くろまるはなばち
chrominance,くろみなんす
clomiphene,くろみふぇん
chromium (Cr) (ger: Chrom, fre: chrome),くろむ
chrome yellow,くろむいえろー
chrome green (pigment made of chromium oxide, Cr2O3),くろむぐりーん
chrome steel,くろむこう
chromium steel,くろむこう
chromic acid,くろむさん
potassium chromate,くろむさんかりうむ
potassium dichromate-sulfuric acid solution,くろむさんこんえき
lead chromate (PbCrO4),くろむさんなまり
chromium poisoning,くろむちゅうどく
chromite,くろむてっこう
tanning using chromium compounds (i.e. potassium dichromate, etc.),くろむなめし
chrome-vanadium steel,くろむばなじうむこう
chrome alum,くろむみょうばん
chromium molybdenum steel,くろむもりぶでんこう
chrome molybdenum steel,くろむもりぶでんこう
grommet,ぐろめっと
hydrilla (species of aquatic plant, Hydrilla verticillata),くろも
Papenfussiella kuromo (species of brown algae),くろも
Japanese wood ant (Formica japonica),くろやまあり
chloral (CCl3CHO),くろらーる
trichloroethanal,くろらーる
black grouse (Tetrao tetrix),くろらいちょう
blackcock (male black grouse),くろらいちょう
greyhen (female black grouse),くろらいちょう
chloramine,くろらみん
chloramphenicol,くろらむふぇにこーる
gloria (lat: gloria),ぐろりあ
gloriosa (flower),ぐろりおーさ
chlortetracycline,くろるてとらさいくりん
chlordane,くろるでん
chlorpicrin,くろるぴくりん
chlorpromazine,くろるぷろまじん
chlorhexidine,くろるへきしじん
chlorella (alga),くろれら
chloroacetophenone,くろろあせとふぇのん
chloroquine,くろろきん
chlorosis,くろろしす
chlorodiphenylarsine,くろろじふぇにるあるしん
chloropicrin,くろろぴくりん
chlorophyll,くろろふぃる
chlorofluorocarbon,くろろふるおろかーぼん
CFC,くろろふるおろかーぼん
chloroprene,くろろぷれん
chloroprene rubber,くろろぷれんごむ
chlorobenzene,くろろべんぜん
chloroform,くろろほるむ
chloromycetin,くろろまいせちん
chloramphenicol,くろろまいせちん
croissant,くろわっさん
clone,くろん
qwerty,くわーてぃ
Sagittaria trifolia var. edulis (edible variant of threeleaf arrowhead),くわい
choir,くわいあ
Moraceae (plant family),くわか
mulberry,くわか
stag beetle,くわがたむし
guacamole,ぐわかもーれ
guacamole,ぐわかもれ
mulberry psyllid (Anomoneura mori),くわきじらみ
kwashiorkor,くわしおるこーる
kvass (fermented beverage resembling beer but made from rye or barley),くわす
quagga (extinct South African zebra) (Equus quagga quagga),くわっが
gouache,ぐわっしゅ
quadrant,くわどらんと
quadrant card slot,くわどらんとかーどすろっと
quartet (ita: quartetto),くわるてっと
sniff,くんくん
cunnilingus,くんに
cunnilingus,くんにりんぐす
beach morning glory (Ipomoea pes-caprae),ぐんばいひるがお
lace bug (any insect of family Tingidae),ぐんばいむし
counter for the ichi-ni-san counting system (usu. directly preceding the item being counted.read as ka),け
a noun read using its on-yomi,け
exclamation of surprised disappointment, disgust, or worry (yuck, ick, ack, eeew, crap!, blech, gross),げ
care,けあ
kea (Nestor notabilis),けあ
wellness care,けあうえる
care service,けあさーびす
accommodation facilities for disabled and aged people, with care provided,けあつきじゅうたく
nursing care center,けあはうす
nursing care centre,けあはうす
care plan,けあぷらん
care management,けあまねーじめんと
care manager,けあまねーじゃー
care manager,けあまねじゃー
careless mistake,けあれすみす
care taker,けあわーかー
gay,げい
chaos,けいおす
silicification,けいか
silicide,けいかぶつ
policemen,けいさつかん
policeman,けいさつかん
police officer,けいさつかん
silicic acid,けいさん
silicate,けいさんえん
silicate,けいさんえん
sodium silicate (Na2SiO3),けいさんなとりうむ
silica sand,けいしゃ
Cajun,けいじゃん
Cajun food,けいじゃんりょうり
case,けいす
Computer-Aided Software Engineering,けいす
CASE,けいす
silica,けいせき
game center,げいせん
game centre,げいせん
