Sakhalin,さはりん
stranger,すとれんじゃー
straw,すとろー
straw weight,すとろーきゅう
stroke,すとろーく
stroke device,すとろーくにゅうりょくそうち
stroke font,すとろーくふぉんと
stroke play,すとろーくぷれー
stroke character generator,すとろーくもじはっせいき
straw hat,すとろーはっと
strobe,すとろーぶ
straw vote,すとろーぼーと
straw ballot,すとろーぼーと
strop,すとろっぷ
strophanthin,すとろふぁんちん
strophulus,すとろふるす
red gum (skin condition primarily affecting children),すとろふるす
strawberry,すとろべりー
stroboscope (和製: strobo),すとろぼ
strobe lamp,すとろぼ
stroboscopic lamp,すとろぼ
stroboscope,すとろぼすこーぷ
stroma,すとろま
stromatolite,すとろまとらいと
stolon,すとろん
strong,すとろんぐ
strontium (Sr),すとろんちうむ
strontium 90,すとろんちうむきゅうじゅう
strontium 90,すとろんちうむきゅうじゅう
Strombolian eruption,すとろんぼりしきふんか
sniper,すないぱー
Ocypode stimpsoni (species of ghost crab, sand crab or white crab),すながに
snack,すなっく
snack bar,すなっく
snack food (esp. potato chips, popcorn, etc.),すなっくがし
munchie,すなっくがし
nosh,すなっくがし
snack bar,すなっくばー
snack noodle,すなっくめん
snatch,すなっち
snuff,すなっふ
snap,すなっぷ
snapshot (esp. of people),すなっぷ
snap-in,すなっぷいん
snap gauge,すなっぷげーじ
snapshot (esp. of people),すなっぷしゃしん
snapshot,すなっぷしょっと
snapshot slide,すなっぷしょっとすらいど
snuff bottle,すなっふぼとる
snap ring,すなっぷりんぐ
circlip,すなっぷりんぐ
fishing cat (Prionailurus viverrinus),すなどりねこ
Mongolian gerbil (Meriones unguiculatus),すなねずみ
chigoe,すなのみ
sand flea,すなのみ
chigger (Tunga penetrans),すなのみ
black finless porpoise (Neophocaena phocaenoides),すなめり
far eastern brook lamprey (Lampetra reissneri),すなやつめ
sneaker,すにーかー
sneak preview,すにーくぷれびゅー
CNIDR,すにーだー
sniffer,すにふぁ
snooker,すぬーかー
snoopy,すぬーぴー
snare drum,すねあどらむ
snake,すねーく
sneak out,すねーくあうと
sneak in,すねーくいん
snakewood,すねーくうっど
snakeskin,すねーくすきん
snake dance,すねーくだんす
Snell's law,すねるのほうそく
snow,すのー
snow gun,すのーがん
snorkeling,すのーけりんぐ
snorkel,すのーける
snow surfing,すのーさーふぃん
snow tire (tyre),すのーたいや
hand-held snow shovel (和製: snow-dump),すのーだんぷ
snow scoop,すのーだんぷ
snowdrop,すのーどろっぷ
snow boots,すのーぶーつ
snow plow,すのーぷらう
snow plough,すのーぷらう
snowbridge,すのーぶりっじ
snowflake,すのーふれーく
snow plow,すのーぷろう
snow plough,すのーぷろう
snowboarding,すのーぼーでぃんぐ
snow boat,すのーぼーと
snowboard,すのーぼーど
snowboarding,すのーぼーど
snow white,すのーほわいと
snow mobile,すのーもーびる
snob,すのっぶ
snobbism,すのびずむ
snowboard,すのぼ
SNOBOL,すのぼる
spa,すぱ
spaghetti,すぱ
spar,すぱー
spur gear,すぱーぎあ
spur gear,すぱーぎや
spark,すぱーく
SPARC,すぱーく
spark plug,すぱーくぷらぐ
sparkling wine,すぱーくりんぐわいん
sparkle,すぱーくる
spatula,すぱーてる
spurt,すぱーと
sperm bank,すぱーむばんく
sparrer (one who spars),すぱーら
sparring,すぱーりんぐ
sparring partner,すぱーりんぐぱーとなー
spy,すぱい
spyware,すぱいうぇあ
spyware,すぱいうえあ
reconnaissance satellite,すぱいえいせい
spiker,すぱいかー
spiky cut,すぱいきーかっと
spike,すぱいく
spiked shoes,すぱいくしゅーず
studded snow tire (tyre) (和製: spike tire),すぱいくたいや
spike heel,すぱいくひーる
stiletto heel,すぱいくひーる
espionage,すぱいこうい
crime of espionage,すぱいざい
spicy,すぱいしー
spicy spice,すぱいしーすぱいす
spice,すぱいす
spider,すぱいだ
spider,すぱいだー
spider web,すぱいだーうぇぶ
nectarine,ずばいもも
spiral,すぱいらる
spiral band,すぱいらるばんどうん
spirometer,すぱいろめーたー
spaghetti,すぱげってぃ
spaghettini,すぱげってぃーに
spaghetti Western (film),すぱげってぃうえすたん
spaghetti code,すぱげってぃこーど
spaghetti program,すぱげってぃぷろぐらむ
spaghetti with meat sauce,すぱげってぃみーとそーす
spaghetti,すぱげてぃ
spaghetti,すぱげてぃー
supercomputer,すぱこん
thank you (rus: spasibo),すぱしーぼ
spasm,すぱずむ
spatula,すぱちゅら
ink spattering,すぱったりんぐ
gaiters,すぱっつ
leggings,すぱっつ
tights,すぱっつ
spats,すぱっつ
tights (和製: spats tights),すぱっつたいつ
footless tights,すぱっつたいつ
spot,すぱっと
spanner,すぱな
wrench,すぱな
spaniel,すぱにえる
Spanish,すぱにっしゅ
Spanish America,すぱにっしゅあめりか
Spanish fly (Lytta vesicatoria),すぱにっしゅふらい
Spanish fly (crushed dried Spanish flies sometimes used as an aphrodisiac),すぱにっしゅふらい
cantharides,すぱにっしゅふらい
spanning,すぱにんぐ
spanning tree,すぱにんぐつりー
student slang for the restaurant chainSpaghetti Factory,すぱふぁく
spamming (sending unwanted email, messages),すぱみんぐ
Spam (trademarked luncheon meat, made mostly from ham),すぱむ
spam (unsolicited email messages),すぱむ
spamblock,すぱむぶろっく
spam mail,すぱむめーる
Subaru (company),すばる
Sparta,すぱるた
hard education or training,すぱるた
Spartacus Games (Socialist Olympics) (rus: spartakiada),すぱるたきあーど
hard education or training,すぱるたきょういく
Svalbard,すばるばーる
span,すぱん
span of control,すぱんおぶこんとろーる
spangle,すぱんぐる
spangle,すぱんこーる
spandex,すぱんでっくす
spun rayon,すぱんれーよん
spear,すぴあ
spear fishing,すぴあふぃっしんぐ
speaker,すぴーか
speaker,すぴーかー
speakerphone,すぴーかーほん
speaker unit,すぴーかーゆにっと
speaking (generally related to learning English),すぴーきんぐ
speak,すぴーく
speaking,すぴーく
speech,すぴーち
speech contest,すぴーち・こんてすと
speech contest,すぴーちこんてすと
speech therapy,すぴーちせらぴー
speech therapist,すぴーちせらぴすと
speechwriter,すぴーちらいたー
speedy,すぴーでぃ
speedy,すぴーでぃー
speed,すぴーど
speed up,すぴーどあっぷ
exceeding the speed limit,すぴーどいはん
speeding,すぴーどいはん
speedway,すぴーどうえー
speed-gun,すぴーどがん
speed skating,すぴーどすけーと
speed sprayer,すぴーどすぷれーやー
speed lines,すぴーどせん
lines drawn to represent motion,すぴーどせん
slowing down (和製: speed down),すぴーどだうん
speed play,すぴーどぷれー
speedboat,すぴーどぼーと
speed ball,すぴーどぼーる
fastball (baseball),すぴーどぼーる
speedometer,すぴーどめーたー
speed limit,すぴーどりみっと
speed controller,すぴこん
spiccato,すぴっかーと
pomeranian (dog) (ger: Spitz),すぴっつ
spitball,すぴっとぼーる
spinner,すぴなー
Old World hookworm (Ancylostoma duodenale) (from Dubini hookworm),ずびにこうちゅう
spinning reel,すぴにんぐりーる
spinnaker,すぴねーかー
spinet,すぴねっと
spinel,すぴねる
Spinozism,すぴのざしゅぎ
spinor,すぴのる
spiritualism,すぴりちゅありずむ
spiritual,すぴりちゅある
religious song,すぴりちゅある
spiritual,すぴりちゅある
spirits,すぴりっつ
spirit,すぴりっと
spillover,すぴるおーばー
spirula,すぴるら
Spirulina (algae),すぴるりな
Spirochaeta (type of bacterium),すぴろへーた
spin,すぴん
spin out,すぴんあうと
spin-in,すぴんいん
spin-off,すぴんおふ
spinoff,すぴんおふ
spin-glass,すぴんぐらす
spin turn,すぴんたーん
spindle,すぴんどる
spindle oil,すぴんどるゆ
staple fiber,すふ
staple fibre,すふ
Sphinx,すふぃんくす
sphingolipid,すふぃんごししつ
Sputnik,すぷーとにく
spooler,すぷーら
spooling,すぷーりんぐ
spool,すぷーる
spoon,すぷーん
spoon-feeding,すぷーんふぃーでぃんぐ
spoon bending,すぷーんまげ
spoon race (i.e. egg and spoon race),すぷーんれーす
sub-economizer (electronics),すぶえこ
sub-economiser,すぶえこ
spherometer,すふぇろめーたー
sforzando,すふぉるつぁんど
sforzato,すふぉるつぁんど
splicer,すぷらいさー
splicing (genetics),すぷらいしんぐ
splice,すぷらいす
sprite,すぷらいと
spline,すぷらいん
spline curve,すぷらいんきょくせん
spline surface,すぷらいんきょくめん
spline shaft,すぷらいんじく
spline interpolation,すぷらいんほかん
splasher,すぷらっしゃー
splash,すぷらっしゅ
splatter movie,すぷらったーえいが
splatter movie,すぷらったーむーびー
splatter movie,すぷらったえいが
splatter movie,すぷらったむーびー
splitter (device that splits and reassembles signals from different frequencies),すぷりったー
split,すぷりっと
split time,すぷりっとたいむ
tongue splitting,すぷりっとたん
forked tongue,すぷりっとたん
split fingered fast ball,すぷりっとふぃんがーふぁーすとぼーる
split-run test,すぷりっとらんてすと
spring,すぷりんぐ
spring camp,すぷりんぐきゃんぷ
spring coat,すぷりんぐこーと
springboard,すぷりんぐぼーど
sprinkler,すぷりんくらー
sprinkler system,すぷりんくらーせつび
sprinter,すぷりんたー
sprint,すぷりんと
splint,すぷりんと
sprint car,すぷりんとかー
sprint race,すぷりんとれーす
spruce,すぷるーす
souffle,すふれ
spray,すぷれー
spray gun,すぷれーがん
spray-dry,すぷれーどらい
sprayer,すぷれーやー
spread,すぷれっど
spreadsheet,すぷれっどしーと
spreadsheet program,すぷれっどしーとぷろぐらむ
sprawl,すぷろーる
sprawl,すぷろーるげんしょう
sprocket,すぷろけっと
sprocket feed,すぷろけっとふぃーど
insert a space (editor's mark),すぺ
spare,すぺあ
spear,すぺあ
spare key,すぺあきー
spare seat,すぺあしーと
spare tire (tyre),すぺあたいや
spectrum analyzer,すぺあな
spare part,すぺあぶひん
spearmint,すぺあみんと
spare rib,すぺありぶ
Spain,すぺいん
Spanish influenza,すぺいんかぜ
War of the Spanish Succession,すぺいんけいしょうせんそう
Spanish (language),すぺいんご
Spanish-speaking world,すぺいんごけん
Spanish-speaking countries,すぺいんごけん
Spaniard,すぺいんじん
red sea bream (Pagellus bogaraveo),すぺいんだい
red sea bream (Pagellus bogaraveo),すぺいんだい
Spanish Civil War,すぺいんないせん
Spanish Guinea,すぺいんりょうぎにあ
Spanish Sahara,すぺいんりょうさはら
Spanish food,すぺいんりょうり
Spanish cooking,すぺいんりょうり
spacer,すぺーさ
spacing,すぺーしんぐ
space,すぺーす
space invaders,すぺーすいんべーだー
space opera,すぺーすおぺら
space gun,すぺーすがん
space bar,すぺーすきー
space key,すぺーすきー
spacecraft,すぺーすくらふと
space colony,すぺーすころにー
space ship,すぺーすしっぷ
space shuttle,すぺーすしゃとる
space telescope,すぺーすてれすこーぷ
space travel,すぺーすとらべる
space fantasy,すぺーすふぁんたじー
space frame,すぺーすふれーむ
space plane,すぺーすぷれーん
spaceman,すぺーすまん
Space Lab,すぺーすらぶ
spade,すぺーど
speculation,すぺきゅれーしょん
speculator,すぺきゅれーたー
spectre,すぺくたー
specter,すぺくたー
spectacle,すぺくたくる
spectacular film,すぺくたくるえいが
spectrum,すぺくとらむ
spread spectrum communication,すぺくとらむかくさんつうしん
spectrum (radio, etc.) (fre: spectre),すぺくとる
spectral,すぺくとる
spectra,すぺくとる
spectral class,すぺくとるがた
spectral series,すぺくとるけいれつ
FWHM,すぺくとるはば
full width half maximum,すぺくとるはば
spectral width,すぺくとるはば
spectral band,すぺくとるばんど
FWHM,すぺくとるはんねはば
full width half maximum,すぺくとるはんねはば
spectral width,すぺくとるはんねはば
spectrum analysis,すぺくとるぶんせき
spectrograph,すぺくとろぐらふ
spectrogram,すぺくとろぐらむ
spectrometer,すぺくとろめーたー
specialist,すぺしゃりすと
special,すぺしゃる
Special Olympics,すぺしゃるおりんぴっくす
specialty diver,すぺしゃるてぃ・だいばー
specialty car,すぺしゃるてぃーかー
specialty diver,すぺしゃるてぃだいばー
special license player (licence),すぺしゃるらいせんすぷれーやー
sword (por: espada),すべた
specification,すぺっく
SPECmark,すぺっくまーく
speckle interferometer,すぺっくるかんしょうけい
special purpose (troops) (rus: spetsnaz),すぺつなず
spelunker,すぺらんかー
superiority complex,すぺりおりてぃーこんぷれっくす
common purslane (Portulaca oleracea),すべりひゆ
spelling,すぺりんぐ
spelling bee,すぺりんぐこんてすと
spelling,すぺる
spell out,すぺるあうと
spelling checker,すぺるちぇっか
spelling checker,すぺるちぇっかー
spellcheck,すぺるちぇっく
spell checking,すぺるちぇっく
sperm,すぺるま
semen,すぺるま
cum,すぺるま
spelling mistake (usually in a foreign language) (和製: spell miss),すぺるみす
spencer jacket,すぺんさーじゃけっと
syringe (dut: spuit),すぽいと
dropper,すぽいと
spoiler,すぽいらー
spoil,すぽいる
spoils system,すぽいるずしすてむ
spoke,すぽーく
spokeswoman,すぽーくすうーまん
spokesperson,すぽーくすぱーそん
spokesman,すぽーくすまん
spoken title,すぽーくんたいとる
sport,すぽーつ
sports,すぽーつ
sports fan,すぽーつ・ふぁん
sports medicine,すぽーついがく
sports event,すぽーついべんと
sportswoman,すぽーつうーまん
sportswear,すぽーつうぇあ
sportswear,すぽーつうえあ
sports car,すぽーつかー
sportscaster,すぽーつきゃすたー
sports club,すぽーつくらぶ
sports science,すぽーつさいえんす
sports shirt,すぽーつしゃつ
sport shirt,すぽーつしゃつ
sports shoes,すぽーつしゅーず
athlete's heart,すぽーつしんぞう
sporting newspaper,すぽーつしんぶん
athlete,すぽーつせんしゅ
sports center,すぽーつせんたー
sports centre,すぽーつせんたー
sports test,すぽーつてすと
sports drink,すぽーつどりんく
sports trainer,すぽーつとれーなー
athletic,すぽーつばんのう
good at sports,すぽーつばんのう
sports fan,すぽーつふぁん
sports fair,すぽーつふぇあー
sports programmer,すぽーつぷろぐらまー
sports marketing,すぽーつまーけてぃんぐ
sportsman,すぽーつまん
sportsmanship,すぽーつまんしっぷ
sportsmanship,すぽーつまんせいしん
sportswriter,すぽーつらいたー
sporty,すぽーてぃー
sports club,すぽくら
heart (athletics),すぽこん
tenacity,すぽこん
spot,すぽっと
spot advertisement,すぽっと
spot advertising,すぽっと
spot news,すぽっと
spotlight,すぽっと
spot ad,すぽっとあど
spot announcement,すぽっとあなうんす
spot price,すぽっとかかく
spot color,すぽっとからー
spot campaign,すぽっときゃんぺーん
spot (marketed) crude oil,すぽっとげんゆ
spot light source,すぽっとこうげん
spot advertisement,すぽっとこうこく
spot advertising,すぽっとこうこく
spot ad,すぽっとこうこく
spot commercial,すぽっとこまーしゃる
spot punch,すぽっとせんこうき
spot check,すぽっとちぇっく
spot investment trust,すぽっととうしん
spot news,すぽっとにゅーす
spot welding,すぽっとようせつ
spotlight,すぽっとらいと
sports drink,すぽどり
sloppy,ずぼら
slovenly,ずぼら
slipshod,ずぼら
negligent,ずぼら
loose,ずぼら
unkempt,ずぼら
trousers (fre: jupon),ずぼん
sponsor,すぽんさ
sponsor,すぽんさー
sponsorship money,すぽんさーしっぷまねー
sponge,すぽんじ
sponge cake,すぽんじけーき
sponge rubber,すぽんじごむ
long johns,ずぼんした
long underpants,ずぼんした
long underwear,ずぼんした
soft ball,すぽんじぼーる
sponge ball,すぽんじぼーる
sponge rubber,すぽんじらばー
suspenders,ずぼんつり
trouser press,ずぼんぷれっさー
smart,すまーと
stylish,すまーと
slim,すまーと
smart card,すまーとかーど
SMARTDRV,すまーとどらいぶ
smart bomb,すまーとばくだん
smart building,すまーとびる
intelligent building,すまーとびる
smart phone,すまーとふぉん
SmartMedia,すまーとめでぃあ
smartmedia forum,すまーとめでぃあふぉーらむ
smiley (face made up of characters),すまいりー
emoticon,すまいりー
smiley faces,すまいりーふぇいす
smiley mark,すまいりーまーく
smile,すまいる
smack,すまっく
smash,すまっしゅ
smashing,すまっしんぐ
Sumatra-Andaman earthquake (2004, resulting in the Indian Ocean tsunami),すまとらおきじしん
Sumatran rhinoceros (Dicerorhinus sumatrensis),すまとらさい
Sumatran rhinoceros (Dicerorhinus sumatrensis),すまとらさい
Excuse me (coll. form of sumaranai),すまらん
Excuse me (coll. form of sumimasen),ずまん
smear,すみあー
golden cuttlefish (Sepia esculenta),すみいか
Japanese spineless cuttlefish (Sepiella japonica),すみいか
Smithsonian Institution,すみそにあん
violet (any flower of genus Viola, esp. the Fuji dawn, Viola mandshurica),すみれ
Violaceae (the violet family of plants),すみれか
smoothie,すむーじー
smoothing,すむーじんぐ
smoothing operation,すむーじんぐおぺれーしょん
smooth,すむーす
smooth,すむーず
smooth shading,すむーずしぇーでぃんぐ
smooth scroll,すむーずすくろーる
smear,すめあ
smear,すめあー
smectic,すめくちっく
smegma,すめぐま
smellovision,すめろびじょん
smoker,すもーかー
smorgasbord,すもーがすぼーど
smoking,すもーきんぐ
smoking jacket,すもーきんぐじゃけっと
smoke,すもーく
smoked salmon,すもーくさーもん
smoked cheese,すもーくちーず
smoked ham,すもーくはむ
harrassment by smoking (和製: smoke harrassment),すもーくはらすめんと
small capital,すもーるきゃぴたる
Smalltalk,すもーるとーく
small business,すもーるびじねす
small-bore rifle,すもーるぼあらいふる
parking light (和製: small light),すもーるらいと
side light,すもーるらいと
smocking,すもっきんぐ
smock,すもっく
smoking jacket,すもっく
smog,すもっぐ
harrassment by smoking,すもはら
Japanese plum,すもも
prune,すもも
Prunus salicina,すもも
subacute myelo-optico-neuropathy,すもん
SMON,すもん
subacute myelo-optico-neuropathy,すもんびょう
SMON,すもんびょう
slur,すらー
slicer,すらいさー
slice,すらいす
slider,すらいだ
slider (usu. volume control),すらいだー
slider-memory,すらいだーめもり
variable autotransformer,すらいだっく
sliding,すらいでぃんぐ
sliding catch,すらいでぃんぐきゃっち
sliding seat,すらいでぃんぐしーと
sliding system,すらいでぃんぐしすてむ
sliding scale,すらいでぃんぐすけーる
sliding tackle,すらいでぃんぐたっくる
slide,すらいど
change (in value or situation),すらいど
proportional change,すらいど
to slide,すらいど
to slip,すらいど
to change (in value, e.g. with a sliding scale),すらいど
to change (in situation),すらいど
microscope slide (和製: slide glass),すらいどがらす
slide glass,すらいどぐらす
slide show,すらいどしょー
sliding scale system,すらいどせい
slide valve,すらいどばるぶ
slide film,すらいどふぃるむ
positive or reversal film,すらいどふぃるむ
slide projector,すらいどぷろじぇくたー
slide master,すらいどますた
slide library,すらいどらいぶらり
slide rule,すらいどるーる
sliver (strand of loose fibers),すらいばー
sleight of hand (magic),すらいはんど
slime,すらいむ
Slav,すらヴ
Slavic,すらヴ
Slavic (branch of languages),すらヴごは
slag,すらぐ
thruster (e.g. on a satellite),すらすたー
thrust,すらすと
thrust bearing,すらすとじくうけ
slugger,すらっがー
slack,すらっく
slug,すらっぐ
slacks,すらっくす
sludge,すらっじ
slasher film,すらっしゃーふぃるむ
slash character (ASCII 057),すらっしゅ
thrash metal,すらっしゅめたる
slap-skate,すらっぷすけーと
klap-skate,すらっぷすけーと
slapstick,すらっぷすてぃっく
Slav,すらぶ
Slavic,すらぶ
slab,すらぶ
slub yarn (yarn with lumps, thickening, etc.),すらぶけいと
Slavic (branch of languages),すらぶごは
slapstick,すらぷすてぃっくきげき
slam,すらむ
slum,すらむ
thrum,すらむ
slum quarters,すらむがい
slurry,すらりー
slalom,すらろーむ
slang,すらんぐ
slump,すらんぷ
slumpflation,すらんぷふれーしょん
three,すりー
sleeve,すりーヴ
three-way speaker,すりーうえーすぴーかー
three-quarter back (rugby),すりーくぉーたー
three-quarter,すりーくおーたー
three-quarter backs,すりーくぉーたーばっくす
3COM,すりーこむ
bust-waist-hip measurements (和製: three size),すりーさいず
vital statistics,すりーさいず
three-wheeled bicycle (和製: threeter),すりーたー
3D,すりーでぃー
3DR,すりーでぃーあーる
3DO,すりーでぃーおー
bunting on two strikes,すりーばんと
three-piece suit,すりーぴーす
sleeping bag,すりーぴんぐばっぐ
sleeve,すりーぶ
sleep,すりーぷ
three-base hit,すりーべーすひっと
slimmer,すりーまー
suricate (species of meerkat, Suricata suricatta) (lat: suricata),すりかーた
suricate (species of meerkat, Suricata suricatta) (lat: suricata),すりかた
slither link (popular Japanese number puzzle),すりざーりんく
masturbation,ずりせん
slicker,すりっかー
slit,すりっと
slit camera,すりっとかめら
slit drum,すりっとどらむ
slipper,すりっぱ
slippers,すりっぱ
slip (i.e. slide),すりっぷ
slip (i.e. petticoat),すりっぷ
Serial Link IP,すりっぷ
SLIP,すりっぷ
slip-on,すりっぷおん
accidents caused by slippery road conditions,すりっぷじこ
icy road accidents,すりっぷじこ
thrips,すりっぷす
slipstream,すりっぷすとりーむ
slip down,すりっぷだうん
SlipKnot,すりっぷのっと
slip-on,すりっぽん
slim,すりむ
slimming down (和製: slim up),すりむあっぷ
thinning,すりむか
streamlining,すりむか
slim-type,すりむかた
slim-type computer,すりむかたこんぴゅーた
slim-type PC,すりむかたぴーしー
slim skirt,すりむすかーと
thriller (movie, story),すりらー
thriller (film),すりらーえいが
Sri Lanka,すりらんか
thrilling,すりりんぐ
thrill,すりる
through,するー
ignoring,するー
throughout,するーあうと
through-connect,するーせつぞく
3DBENCH,するーでぃーべんち
through pass,するーぱす
sloop,するーぷ
throughput,するーぷっと
throughput Bandwidth On Demand,するーぷっとびーおーでぃー
through hole,するーほーる
slew rate,するーれーと
zurna (Anatolian woodwind instrument),ずるな
surnay,ずるな
surnay (Anatolian woodwind instrument),するなーい
zurna,するなーい
sulpyrine,するぴりん
sulfaguanidine,するふぁぐあにじん
sulfadiazine,するふぁじあじん
sulfadiazine,するふぁだいあじん
sulfanilamide,するふぁにるあみど
sulphanilamide,するふぁにるあみど
sulfamine,するふぁみん
sulfo group,するほき
sulfonamide,するほんあみど
sulphonamide,するほんあみど
sulfonation,するほんか
sulfonic acid,するほんさん
Japanese common squid,するめいか
Pacific flying squid (Todarodes pacificus),するめいか
playing hookey,ずるやすみ
being away from work without a good reason,ずるやすみ
thread,すれ
slave,すれいヴ
slave,すれいぶ
slayer,すれいやー
sleek,すれーき
slaking,すれーきんぐ
slate,すれーと
slate gray,すれーとぐれー
slate roof,すれーとぶき
slave,すれーぶ
slave drive,すれーぶどらいぶ
threonine (ger: Threonin),すれおにん
thread title,すれたい
off topic (e.g. in a web forum),すれち
off topic (e.g. in a web forum),すれちがい
thresher,すれっしゃー
thread,すれっど
thread safe,すれっどせーふ
title of a thread in email, news, etc. (和製: thread title),すれっどたいとる
slender,すれんだー
Slovenia,すろヴぇにあ
slow,すろー
throw,すろー
throw-in (football, etc.),すろーいん
throwing,すろーいんぐ
slow virus,すろーういるす
slow virus infection,すろーういるすかんせんしょう
slow motion (clip, image, etc.),すろーえいぞう
slow curve,すろーかーぶ
slogan,すろーがん
sloe gin,すろーじん
drawers,ずろーす
slow starter,すろーすたーたー
slowdown,すろーだうん
slow dance,すろーだんす
slow-motion video,すろーびでお
slope,すろーぷ
slow food (as opposed to fast food),すろーふーど
throw forward,すろーふぉわーど
slow pace,すろーぺーす
slowball,すろーぼーる
slow-moving person,すろーもー
dull person,すろーもー
slow-motion (picture),すろーもーしょん
slow loris,すろーろりす
zloty,ずろち
slotter,すろったー
slot,すろっと
slotted-ring network,すろっとがたりんぐねっとわーく
slot time (in CSMA-CD),すろっとじかん
slot machine,すろっとましん
fruit machine,すろっとましん
poker machine,すろっとましん
slotted wing,すろっとよく
throttle,すろっとる
throttle valve,すろっとるばるぶ
throttle lever,すろっとるればー
Slovakia,すろばきあ
Slovenia,すろべにあ
snow crab (Chionoecetes opilio),ずわいがに
queen crab,ずわいがに
snow crab (Chionoecetes opilio),ずわいがに
queen crab,ずわいがに
swagger coat,すわがーこーと
swatch,すわっち
Special Weapons and Tactics,すわっと
SWAT,すわっと
swapping,すわっぴんぐ
swap,すわっぷ
swapped out,すわっぷあうと
swapped in,すわっぷいん
swap area,すわっぷえりあ
swap agreement,すわっぷきょうてい
swap transactions,すわっぷとりひき
swap dealings,すわっぷとりひき
swap file,すわっぷふぁいる
swap meet,すわっぷみーと
swap space,すわっぷりょういき
swap area,すわっぷりょういき
Swahili (language),すわひりご
Kiswahili,すわひりご
swan,すわん
Sunna (collection of recorded words and actions of the prophet Muhammad) (ara: sunna),すんな
Sunnah,すんな
Sunni (sect of Islam),すんなは
Sunni Triangle (area of Iraq bounded by Baghdad, Ramadi and Tikrit) (ara: Sunni),すんに・とらいあんぐる
Sunni Triangle (area of Iraq bounded by Baghdad, Ramadi and Tikrit) (ara: Sunni),すんにとらいあんぐる
sump method,すんぷほう
walrus (Odobenus rosmarus) (rus: sivuch),せいうち
sage,せいじ
Canada goldenrod (Solidago canadensis var. scabra),せいたかあわだちそう
black-winged stilt (Himantopus himantopus),せいたかしぎ
stilt (any bird of family Recurvirostridae),せいたかしぎ
avocet,せいたかしぎ
Artemisia selengensis,せいたかよもぎ
sabre (dut: sabel),せいばー
saber,せいばー
Seyfert galaxy,せいふぁーとぎんが
bunt performed for a base hit (和製: safety bunt),せいふてぃばんと
safe deposit box (和製: safety box),せいふてぃぼっくす
small safe,せいふてぃぼっくす
savory (herb),せいぼりー
Western hydrangea,せいようあじさい
Hydrangea macrophylla,せいようあじさい
silverfish (Lepisma saccharina),せいようしみ
gooseberry (Ribes uva-crispa L.),せいようすぐり
yarrow (Achillea millefolium),せいようのこぎりそう
milfoil,せいようのこぎりそう
Lombardy poplar (Populus nigra var. italica),せいようはこやなぎ
Eurasian hazel (Corylus avellana),せいようはしばみ
English holly (Ilex aquifolium),せいようひいらぎ
sweet cherry (Prunus avium),せいようみざくら
mazzard,せいようみざくら
lemon balm (Melissa officinalis),せいようやまはっか
sweet balm,せいようやまはっか
sailer,せいらー
sailing,せいりんぐ
cinnamon tree (Cinnamomum zeylanicum),せいろんにっけい
cinnamon tree (Cinnamomum zeylanicum),せいろんにっけい
saint,せいんと
Zeus,ぜうす
seventeen,せヴんてぃーん
sage,せーじ
wheezing sound,ぜーぜー
gasping sound,ぜーぜー
to wheeze,ぜーぜーいう
to breathe with difficulty,ぜーぜーいう
to gasp,ぜーぜーいう
sweater,せーたー
jumper,せーたー
Say's law,せーのほうそく
sabre (dut: sabel),せーばー
saber,せーばー
saving,せーびんぐ
Sabin vaccine (for polio),せーびんわくちん
safe,せーふ
save,せーぶ
safeguard,せーふがーど
safety,せーふてぃー
safety zone,せーふてぃーぞーん
driving safely (和製: safety drive),せーふてぃーどらいぶ
safety net,せーふてぃーねっと
safety valve,せーふてぃーばるぶ
bunt performed for a base hit (和製: safety bunt),せーふてぃーばんと
safety binding (ski),せーふてぃーびんでぃんぐ
safety factor,せーふてぃーふぁくたー
safety deposit box (和製: safety box),せーふてぃーぼっくす
safety net,せーふてぃねっと
safety deposit box (和製: safety box),せーふてぃぼっくす
save point,せーぶぽいんと
safelight,せーふらいと
sable,せーぶる
Sevres porcelain,せーぶるじき
Zeeman effect,ぜーまんこうか
chamois leather,せーむがわ
sailor,せーらー
sailor collar,せーらーからー
sailor suit,せーらーふく
middy uniform,せーらーふく
sailing,せーりんぐ
sailing boat,せーりんぐぼーと
sale,せーる
sales,せーるす
sales approach,せーるすあぷろーち
sales engineer,せーるすえんじにあ
sales strategy,せーるすせんりゃく
sales talk,せーるすとーく
sales promotion,せーるすぷろもーしょん
salesman,せーるすまん
theodolite,せおどらいと
zeolite,ぜおらいと
theory,せおりー
theorist,せおりすと
theoretical,せおれてぃかる
theoretical,せおれていかる
Sega,せが
Sega Saturn,せがさたーん
Zechariah (book of the Bible),ぜかりやしょ
secondary,せかんだり
secondary,せかんだりー
secondary cache,せかんだりきゃっしゅ
secondary site,せかんだりさいと
secondary DNS server,せかんだりでぃーえんえすさーば
secondary video display controller,せかんだりびでおでぃすぷれいこんとろーら
secondary ring,せかんだりりんぐ
secant,せかんと
second,せかんど
second base,せかんど
second wind,せかんどういんど
second opinion,せかんどおぴにおん
outdoor environmental educational program for city children (programme) (和製: second school),せかんどすくーる
second source,せかんどそーす
second house,せかんどはうす
second home,せかんどはうす
second bag,せかんどばっぐ
zippered carrying case,せかんどばっぐ
second battery,せかんどばってり
secondhand,せかんどはんど
second base,せかんどべーす
second best,せかんどべすと
